TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.0
 Hypocentral depth in km:    5.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
       4.760       2.835       6.460       3.431       6.414
       4.770       2.837       6.462       3.434       6.417
       4.780       2.838       6.464       3.437       6.421
       4.790       2.840       6.465       3.440       6.424
       4.800       2.841       6.467       3.442       6.427
       4.810       2.843       6.469       3.445       6.430
       4.820       2.844       6.470       3.448       6.433
       4.830       2.846       6.472       3.450       6.436
       4.840       2.847       6.474       3.453       6.439
       4.850       2.849       6.476       3.456       6.442
       4.860       2.851       6.477       3.459       6.446
       4.870       2.852       6.479       3.461       6.449
       4.880       2.854       6.481       3.464       6.452
       4.890       2.855       6.483       3.467       6.455
       4.900       2.857       6.484       3.469       6.458
       4.910       2.858       6.486       3.472       6.461
       4.920       2.860       6.488       3.475       6.464
       4.930       2.861       6.489       3.478       6.468
       4.940       2.863       6.491       3.480       6.471
       4.950       2.865       6.493       3.483       6.474
       4.960       2.866       6.495       3.486       6.477
       4.970       2.868       6.496       3.489       6.480
       4.980       2.869       6.498       3.491       6.483
       4.990       2.871       6.500       3.494       6.486
       5.000       2.872       6.502       3.497       6.489
       5.010       2.874       6.503       3.500       6.493
       5.020       2.875       6.505       3.502       6.496
       5.030       2.877       6.507       3.505       6.499
       5.040       2.879       6.508       3.508       6.502
       5.050       2.880       6.510       3.510       6.505
       5.060       2.882       6.512       3.513       6.508
       5.070       2.883       6.514       3.516       6.511
       5.080       2.885       6.515       3.519       6.514
       5.090       2.886       6.517       3.522       6.518
       5.100       2.888       6.519       3.524       6.521
       5.110       2.890       6.521       3.527       6.524
       5.120       2.891       6.522       3.530       6.527
       5.130       2.893       6.524       3.533       6.530
       5.140       2.894       6.526       3.535       6.533
       5.150       2.896       6.527       3.538       6.536
       5.160       2.897       6.529       3.541       6.539
       5.170       2.899       6.531       3.544       6.543
       5.180       2.901       6.533       3.546       6.546
       5.190       2.902       6.534       3.549       6.549
       5.200       2.904       6.536       3.552       6.552
       5.210       2.905       6.538       3.555       6.555
       5.220       2.907       6.540       3.557       6.558
       5.230       2.908       6.541       3.560       6.561
       5.240       2.910       6.543       3.563       6.564
       5.250       2.912       6.545       3.566       6.568
       5.260       2.913       6.546       3.569       6.571
       5.270       2.915       6.548       3.571       6.574
       5.280       2.916       6.550       3.574       6.577
       5.290       2.918       6.552       3.577       6.580
       5.300       2.920       6.553       3.580       6.583
       5.310       2.921       6.555       3.582       6.586
       5.320       2.923       6.557       3.585       6.590
       5.330       2.924       6.559       3.588       6.593
       5.340       2.926       6.560       3.591       6.596
       5.350       2.927       6.562       3.594       6.599
       5.360       2.929       6.564       3.596       6.602
       5.370       2.931       6.565       3.599       6.605
       5.380       2.932       6.567       3.602       6.608
       5.390       2.934       6.569       3.605       6.611
       5.400       2.935       6.571       3.608       6.615
       5.410       2.937       6.572       3.610       6.618
       5.420       2.939       6.574       3.613       6.621
       5.430       2.940       6.576       3.616       6.624
       5.440       2.942       6.578       3.619       6.627
       5.450       2.943       6.579       3.622       6.630
       5.460       2.945       6.581       3.624       6.633
       5.470       2.946       6.583       3.627       6.636
       5.480       2.948       6.584       3.630       6.640
       5.490       2.950       6.586       3.633       6.643
       5.500       2.951       6.588       3.636       6.646
       5.510       2.953       6.590       3.638       6.649
       5.520       2.954       6.591       3.641       6.652
       5.530       2.956       6.593       3.644       6.655
       5.540       2.958       6.595       3.647       6.658
       5.550       2.959       6.597       3.650       6.661
       5.560       2.961       6.598       3.652       6.665
       5.570       2.962       6.600       3.655       6.668
       5.580       2.964       6.602       3.658       6.671
       5.590       2.966       6.603       3.661       6.674
       5.600       2.967       6.605       3.664       6.677
       5.610       2.969       6.607       3.667       6.680
       5.620       2.970       6.609       3.669       6.683
       5.630       2.972       6.610       3.672       6.687
       5.640       2.974       6.612       3.675       6.690
       5.650       2.975       6.614       3.678       6.693
       5.660       2.977       6.615       3.681       6.696
       5.670       2.978       6.617       3.684       6.699
       5.680       2.980       6.619       3.686       6.702
       5.690       2.982       6.621       3.689       6.705
       5.700       2.983       6.622       3.692       6.708
       5.710       2.985       6.624       3.695       6.712
       5.720       2.986       6.626       3.698       6.715
       5.730       2.988       6.628       3.701       6.718
       5.740       2.990       6.629       3.703       6.721
       5.750       2.991       6.631       3.706       6.724
       5.760       2.993       6.633       3.709       6.727
       5.770       2.994       6.634       3.712       6.730
       5.780       2.996       6.636       3.715       6.733
       5.790       2.998       6.638       3.718       6.737
       5.800       2.999       6.640       3.720       6.740
       5.810       3.001       6.641       3.723       6.743
       5.820       3.002       6.643       3.726       6.746
       5.830       3.004       6.645       3.729       6.749
       5.840       3.006       6.647       3.732       6.752
       5.850       3.007       6.648       3.735       6.755
       5.860       3.009       6.650       3.737       6.758
       5.870       3.010       6.652       3.740       6.762
       5.880       3.012       6.653       3.743       6.765
       5.890       3.014       6.655       3.746       6.768
       5.900       3.015       6.657       3.749       6.771
       5.910       3.017       6.659       3.752       6.774
       5.920       3.018       6.660       3.755       6.777
       5.930       3.020       6.662       3.757       6.780
       5.940       3.022       6.664       3.760       6.783
       5.950       3.023       6.666       3.763       6.787
       5.960       3.025       6.667       3.766       6.790
       5.970       3.027       6.669       3.769       6.793
       5.980       3.028       6.671       3.772       6.796
       5.990       3.030       6.672       3.775       6.799
       6.000       3.031       6.674       3.777       6.802
       6.010       3.033       6.676       3.780       6.805
       6.020       3.035       6.678       3.783       6.809
       6.030       3.036       6.679       3.786       6.812
       6.040       3.038       6.681       3.789       6.815
       6.050       3.039       6.683       3.792       6.818
       6.060       3.041       6.685       3.795       6.821
       6.070       3.043       6.686       3.798       6.824
       6.080       3.044       6.688       3.800       6.827
